record_1_id,record_2_id,similarity_score,hire_date_diff_days,recommended_action
GT-005434,AC-002517,82.8,1930,MANUAL_REVIEW
GT-002452,AC-002544,78.8,1956,MANUAL_REVIEW
GT-001986,AC-002555,100.0,1490,VERIFY_HIRE_DATE
GT-006471,AC-002684,90.3,142,VERIFY_HIRE_DATE
GT-004088,AC-002707,100.0,2717,VERIFY_HIRE_DATE
GT-001472,AC-002748,100.0,1803,VERIFY_HIRE_DATE
GT-007338,AC-002802,100.0,782,VERIFY_HIRE_DATE
GT-007694,AC-002868,100.0,2841,VERIFY_HIRE_DATE
GT-013610,AC-002889,100.0,2673,VERIFY_HIRE_DATE
GT-007855,AC-002940,100.0,1973,VERIFY_HIRE_DATE
GT-005110,AC-002962,100.0,1223,VERIFY_HIRE_DATE
GT-001105,AC-000000,100.0,311,VERIFY_HIRE_DATE
GT-006668,AC-000008,100.0,2313,VERIFY_HIRE_DATE
GT-010306,AC-000022,87.0,748,MANUAL_REVIEW
GT-004269,AC-000041,81.8,396,MANUAL_REVIEW
GT-000775,AC-000042,83.3,2506,MANUAL_REVIEW
GT-005518,AC-000050,100.0,2477,VERIFY_HIRE_DATE
GT-004269,AC-000054,81.8,68,MANUAL_REVIEW
GT-003537,AC-000076,78.6,1179,MANUAL_REVIEW
GT-002365,AC-000101,78.3,446,MANUAL_REVIEW
GT-005666,AC-000131,100.0,1414,VERIFY_HIRE_DATE
GT-012705,AC-000153,100.0,927,VERIFY_HIRE_DATE
GT-005974,AC-000166,100.0,2173,VERIFY_HIRE_DATE
GT-000997,AC-000174,100.0,1933,VERIFY_HIRE_DATE
GT-009864,AC-000177,100.0,814,VERIFY_HIRE_DATE
GT-009181,AC-000182,100.0,2526,VERIFY_HIRE_DATE
GT-004988,AC-000193,100.0,1154,VERIFY_HIRE_DATE
GT-006234,AC-000198,75.0,942,MANUAL_REVIEW
GT-007364,AC-000207,100.0,2664,VERIFY_HIRE_DATE
GT-003705,AC-000209,100.0,2555,VERIFY_HIRE_DATE
GT-002479,AC-000228,100.0,1852,VERIFY_HIRE_DATE
GT-004882,AC-000258,100.0,1069,VERIFY_HIRE_DATE
GT-003897,AC-000296,100.0,1953,VERIFY_HIRE_DATE
GT-003647,AC-000331,100.0,845,VERIFY_HIRE_DATE
GT-007815,AC-000347,100.0,2121,VERIFY_HIRE_DATE
GT-000895,AC-000366,76.9,857,MANUAL_REVIEW
GT-006929,AC-000394,100.0,1192,VERIFY_HIRE_DATE
GT-009238,AC-000395,100.0,3296,VERIFY_HIRE_DATE
GT-012397,AC-000403,100.0,1348,VERIFY_HIRE_DATE
GT-003694,AC-000405,100.0,1211,VERIFY_HIRE_DATE
GT-008692,AC-000417,85.7,12,MANUAL_REVIEW
GT-014552,AC-000425,100.0,1405,VERIFY_HIRE_DATE
GT-001349,AC-000431,100.0,776,VERIFY_HIRE_DATE
GT-001500,AC-000436,100.0,1345,VERIFY_HIRE_DATE
GT-002052,AC-000477,100.0,2481,VERIFY_HIRE_DATE
GT-005739,AC-000501,100.0,557,VERIFY_HIRE_DATE
GT-007796,AC-000502,90.9,1411,VERIFY_HIRE_DATE
GT-003032,AC-000523,100.0,862,VERIFY_HIRE_DATE
GT-008716,AC-000550,100.0,1143,VERIFY_HIRE_DATE
GT-001084,AC-000577,100.0,1417,VERIFY_HIRE_DATE
GT-005501,AC-000586,85.7,1236,MANUAL_REVIEW
GT-005805,AC-000590,84.6,521,MANUAL_REVIEW
GT-003429,AC-000620,90.3,1229,VERIFY_HIRE_DATE
GT-007017,AC-000630,100.0,1056,VERIFY_HIRE_DATE
GT-009853,AC-000679,100.0,1285,VERIFY_HIRE_DATE
GT-000689,AC-000697,100.0,837,VERIFY_HIRE_DATE
GT-010350,AC-000703,100.0,774,VERIFY_HIRE_DATE
GT-001240,AC-000709,100.0,1925,VERIFY_HIRE_DATE
GT-004975,AC-000743,100.0,1803,VERIFY_HIRE_DATE
GT-004246,AC-000751,76.2,3003,MANUAL_REVIEW
GT-005928,AC-000754,100.0,2492,VERIFY_HIRE_DATE
GT-003228,AC-000794,100.0,3189,VERIFY_HIRE_DATE
GT-002625,AC-000823,100.0,1892,VERIFY_HIRE_DATE
GT-012672,AC-000831,100.0,1991,VERIFY_HIRE_DATE
GT-002780,AC-000883,100.0,247,VERIFY_HIRE_DATE
GT-011552,AC-000910,100.0,2733,VERIFY_HIRE_DATE
GT-000738,AC-000916,100.0,2455,VERIFY_HIRE_DATE
GT-006655,AC-000933,100.0,515,VERIFY_HIRE_DATE
GT-009640,AC-000978,100.0,2384,VERIFY_HIRE_DATE
GT-012516,AC-001003,100.0,196,VERIFY_HIRE_DATE
GT-009243,AC-001034,100.0,3325,VERIFY_HIRE_DATE
GT-008314,AC-001055,100.0,1070,VERIFY_HIRE_DATE
GT-000895,AC-001069,100.0,3128,VERIFY_HIRE_DATE
GT-005482,AC-001072,100.0,385,VERIFY_HIRE_DATE
GT-013493,AC-001171,100.0,450,VERIFY_HIRE_DATE
GT-001660,AC-001172,84.6,1225,MANUAL_REVIEW
GT-005910,AC-001234,100.0,2431,VERIFY_HIRE_DATE
GT-006069,AC-001255,100.0,49,VERIFY_HIRE_DATE
GT-001020,AC-001263,88.9,768,VERIFY_HIRE_DATE
GT-000308,AC-001268,100.0,803,VERIFY_HIRE_DATE
GT-000315,AC-001277,100.0,1269,VERIFY_HIRE_DATE
GT-009107,AC-001282,100.0,413,VERIFY_HIRE_DATE
GT-007796,AC-001287,83.3,3031,MANUAL_REVIEW
GT-001741,AC-001299,100.0,1319,VERIFY_HIRE_DATE
GT-008466,AC-001315,100.0,2537,VERIFY_HIRE_DATE
GT-013924,AC-001365,100.0,1700,VERIFY_HIRE_DATE
GT-001025,AC-001377,100.0,1507,VERIFY_HIRE_DATE
GT-002281,AC-001386,100.0,62,VERIFY_HIRE_DATE
GT-010585,AC-001392,100.0,679,VERIFY_HIRE_DATE
GT-002365,AC-001415,100.0,369,VERIFY_HIRE_DATE
GT-010322,AC-001441,83.3,2265,MANUAL_REVIEW
GT-000613,AC-001464,100.0,435,VERIFY_HIRE_DATE
GT-001959,AC-001513,100.0,2805,VERIFY_HIRE_DATE
GT-006529,AC-001521,100.0,730,VERIFY_HIRE_DATE
GT-000117,AC-001523,100.0,1196,VERIFY_HIRE_DATE
GT-010755,AC-001531,100.0,2020,VERIFY_HIRE_DATE
GT-007856,AC-001547,100.0,2652,VERIFY_HIRE_DATE
GT-002015,AC-001560,100.0,1451,VERIFY_HIRE_DATE
GT-004485,AC-001575,100.0,2595,VERIFY_HIRE_DATE
GT-010455,AC-001617,100.0,178,VERIFY_HIRE_DATE
GT-009090,AC-001661,100.0,1177,VERIFY_HIRE_DATE
GT-011702,AC-001665,100.0,504,VERIFY_HIRE_DATE
GT-001745,AC-001675,100.0,1118,VERIFY_HIRE_DATE
GT-002797,AC-001678,100.0,1189,VERIFY_HIRE_DATE
GT-004485,AC-001717,78.3,701,MANUAL_REVIEW
GT-002749,AC-001726,100.0,256,VERIFY_HIRE_DATE
GT-001464,AC-001742,100.0,307,VERIFY_HIRE_DATE
GT-004907,AC-001753,100.0,3010,VERIFY_HIRE_DATE
GT-007991,AC-001754,100.0,1817,VERIFY_HIRE_DATE
GT-001540,AC-001818,100.0,596,VERIFY_HIRE_DATE
GT-005283,AC-001839,100.0,2251,VERIFY_HIRE_DATE
GT-001897,AC-001893,100.0,360,VERIFY_HIRE_DATE
GT-002359,AC-001917,100.0,1388,VERIFY_HIRE_DATE
GT-001118,AC-001993,100.0,1668,VERIFY_HIRE_DATE
GT-001510,AC-001997,100.0,1815,VERIFY_HIRE_DATE
GT-003720,AC-002045,100.0,502,VERIFY_HIRE_DATE
GT-000499,AC-002055,84.6,2312,MANUAL_REVIEW
GT-004747,AC-002137,100.0,599,VERIFY_HIRE_DATE
GT-004236,AC-002175,100.0,218,VERIFY_HIRE_DATE
GT-010203,AC-002228,100.0,1090,VERIFY_HIRE_DATE
GT-005001,AC-002278,100.0,1677,VERIFY_HIRE_DATE
GT-007209,AC-002283,100.0,142,VERIFY_HIRE_DATE
GT-000222,AC-002304,100.0,2151,VERIFY_HIRE_DATE
GT-009876,AC-002315,100.0,457,VERIFY_HIRE_DATE
GT-000197,AC-002329,100.0,1973,VERIFY_HIRE_DATE
GT-003177,AC-002330,100.0,2277,VERIFY_HIRE_DATE
GT-001191,AC-002332,78.3,77,MANUAL_REVIEW
GT-008498,AC-002338,100.0,1987,VERIFY_HIRE_DATE
GT-012017,AC-002345,100.0,1736,VERIFY_HIRE_DATE
GT-000308,AC-002428,88.0,534,VERIFY_HIRE_DATE
GT-007783,AC-002437,82.8,1736,MANUAL_REVIEW
GT-005615,AC-002462,100.0,822,VERIFY_HIRE_DATE
GT-002662,AC-002483,100.0,1898,VERIFY_HIRE_DATE
GT-000958,AC-002513,100.0,2135,VERIFY_HIRE_DATE
GT-003729,AC-002520,81.8,790,MANUAL_REVIEW
GT-008467,AC-002534,100.0,301,VERIFY_HIRE_DATE
GT-006420,AC-002579,100.0,1220,VERIFY_HIRE_DATE
GT-011996,AC-002584,100.0,710,VERIFY_HIRE_DATE
GT-005326,AC-002612,100.0,1685,VERIFY_HIRE_DATE
GT-001655,AC-002625,100.0,1224,VERIFY_HIRE_DATE
GT-000017,AC-002627,100.0,474,VERIFY_HIRE_DATE
GT-007883,AC-002722,100.0,1338,VERIFY_HIRE_DATE
GT-002890,AC-002751,100.0,1363,VERIFY_HIRE_DATE
GT-010418,AC-002813,100.0,3343,VERIFY_HIRE_DATE
GT-008273,AC-002822,100.0,2783,VERIFY_HIRE_DATE
GT-001051,AC-002900,100.0,2252,VERIFY_HIRE_DATE
GT-007237,AC-002927,100.0,2269,VERIFY_HIRE_DATE
GT-006234,AC-002991,100.0,347,VERIFY_HIRE_DATE
GT-006616,AC-002993,100.0,973,VERIFY_HIRE_DATE
GT-008325,AC-000002,100.0,154,VERIFY_HIRE_DATE
GT-000189,AC-000005,100.0,50,VERIFY_HIRE_DATE
GT-004296,AC-000013,100.0,884,VERIFY_HIRE_DATE
GT-007417,AC-000024,100.0,2792,VERIFY_HIRE_DATE
GT-005070,AC-000025,100.0,848,VERIFY_HIRE_DATE
GT-002190,AC-000027,100.0,1754,VERIFY_HIRE_DATE
GT-007849,AC-000033,100.0,1972,VERIFY_HIRE_DATE
GT-002014,AC-000039,100.0,175,VERIFY_HIRE_DATE
GT-002484,AC-000044,100.0,2333,VERIFY_HIRE_DATE
GT-011095,AC-000082,100.0,1903,VERIFY_HIRE_DATE
GT-000377,AC-000085,100.0,571,VERIFY_HIRE_DATE
GT-008027,AC-000087,100.0,388,VERIFY_HIRE_DATE
GT-006352,AC-000091,83.3,131,MANUAL_REVIEW
GT-000520,AC-000107,100.0,2346,VERIFY_HIRE_DATE
GT-001644,AC-000111,100.0,1776,VERIFY_HIRE_DATE
GT-001673,AC-000143,100.0,825,VERIFY_HIRE_DATE
GT-001901,AC-000149,100.0,1106,VERIFY_HIRE_DATE
GT-003906,AC-000196,100.0,2769,VERIFY_HIRE_DATE
GT-003175,AC-000219,100.0,1238,VERIFY_HIRE_DATE
GT-003181,AC-000220,100.0,188,VERIFY_HIRE_DATE
GT-001747,AC-000223,100.0,718,VERIFY_HIRE_DATE
GT-010349,AC-000231,100.0,812,VERIFY_HIRE_DATE
GT-003932,AC-000317,100.0,703,VERIFY_HIRE_DATE
GT-000703,AC-000322,100.0,1374,VERIFY_HIRE_DATE
GT-002424,AC-000328,100.0,736,VERIFY_HIRE_DATE
GT-003588,AC-000335,83.9,1200,MANUAL_REVIEW
GT-011440,AC-000348,100.0,1486,VERIFY_HIRE_DATE
GT-012052,AC-000379,100.0,996,VERIFY_HIRE_DATE
GT-007543,AC-000390,82.8,2584,MANUAL_REVIEW
GT-007735,AC-000406,75.9,524,MANUAL_REVIEW
GT-001742,AC-000411,100.0,623,VERIFY_HIRE_DATE
GT-008931,AC-000413,100.0,235,VERIFY_HIRE_DATE
GT-012726,AC-000422,100.0,1827,VERIFY_HIRE_DATE
GT-000317,AC-000429,100.0,1436,VERIFY_HIRE_DATE
GT-002133,AC-000433,100.0,1064,VERIFY_HIRE_DATE
GT-000605,AC-000440,100.0,2169,VERIFY_HIRE_DATE
GT-010786,AC-000445,100.0,1516,VERIFY_HIRE_DATE
GT-009982,AC-000457,85.7,1813,MANUAL_REVIEW
GT-008101,AC-000458,100.0,1268,VERIFY_HIRE_DATE
GT-004753,AC-000469,100.0,1571,VERIFY_HIRE_DATE
GT-014826,AC-000474,100.0,544,VERIFY_HIRE_DATE
GT-006368,AC-000479,100.0,1935,VERIFY_HIRE_DATE
GT-005886,AC-000489,100.0,1751,VERIFY_HIRE_DATE
GT-005040,AC-000528,100.0,179,VERIFY_HIRE_DATE
GT-003932,AC-000531,78.6,1727,MANUAL_REVIEW
GT-007925,AC-000562,100.0,2263,VERIFY_HIRE_DATE
GT-001502,AC-000567,100.0,1781,VERIFY_HIRE_DATE
GT-000080,AC-000593,100.0,1684,VERIFY_HIRE_DATE
GT-010270,AC-000618,77.4,1301,MANUAL_REVIEW
GT-006932,AC-000619,100.0,998,VERIFY_HIRE_DATE
GT-007127,AC-000633,100.0,1249,VERIFY_HIRE_DATE
GT-002380,AC-000638,100.0,1361,VERIFY_HIRE_DATE
GT-011440,AC-000654,83.3,1428,MANUAL_REVIEW
GT-004225,AC-000664,85.7,2248,MANUAL_REVIEW
GT-005758,AC-000668,100.0,66,VERIFY_HIRE_DATE
GT-000920,AC-000678,100.0,1074,VERIFY_HIRE_DATE
GT-003424,AC-000715,100.0,1257,VERIFY_HIRE_DATE
GT-012900,AC-000721,100.0,1596,VERIFY_HIRE_DATE
GT-004022,AC-000730,100.0,242,VERIFY_HIRE_DATE
GT-010295,AC-000745,100.0,921,VERIFY_HIRE_DATE
GT-014770,AC-000766,100.0,2161,VERIFY_HIRE_DATE
GT-009214,AC-000768,100.0,579,VERIFY_HIRE_DATE
GT-000046,AC-000769,100.0,516,VERIFY_HIRE_DATE
GT-007651,AC-000775,100.0,1960,VERIFY_HIRE_DATE
GT-006487,AC-000799,77.4,158,MANUAL_REVIEW
GT-008461,AC-000813,100.0,1550,VERIFY_HIRE_DATE
GT-009361,AC-000832,100.0,122,VERIFY_HIRE_DATE
GT-005146,AC-000904,100.0,1733,VERIFY_HIRE_DATE
GT-007571,AC-000915,100.0,3402,VERIFY_HIRE_DATE
GT-002979,AC-000934,100.0,2445,VERIFY_HIRE_DATE
GT-006837,AC-000952,100.0,1996,VERIFY_HIRE_DATE
GT-001054,AC-000960,88.9,1040,VERIFY_HIRE_DATE
GT-006099,AC-000971,100.0,727,VERIFY_HIRE_DATE
GT-001256,AC-000982,100.0,2172,VERIFY_HIRE_DATE
GT-000829,AC-001020,100.0,1143,VERIFY_HIRE_DATE
GT-008464,AC-001030,100.0,110,VERIFY_HIRE_DATE
GT-000843,AC-001039,100.0,307,VERIFY_HIRE_DATE
GT-000317,AC-001042,82.8,656,MANUAL_REVIEW
GT-010850,AC-001101,100.0,661,VERIFY_HIRE_DATE
GT-012372,AC-001123,83.9,1859,MANUAL_REVIEW
GT-006384,AC-001141,100.0,2572,VERIFY_HIRE_DATE
GT-001512,AC-001143,88.9,816,VERIFY_HIRE_DATE
GT-000490,AC-001175,85.7,771,MANUAL_REVIEW
GT-004474,AC-001216,100.0,1527,VERIFY_HIRE_DATE
GT-013976,AC-001229,100.0,661,VERIFY_HIRE_DATE
GT-007656,AC-001248,100.0,1705,VERIFY_HIRE_DATE
GT-004610,AC-001254,100.0,2722,VERIFY_HIRE_DATE
GT-000700,AC-001310,100.0,156,VERIFY_HIRE_DATE
GT-004186,AC-001317,100.0,323,VERIFY_HIRE_DATE
GT-006524,AC-001322,100.0,728,VERIFY_HIRE_DATE
GT-002961,AC-001339,100.0,591,VERIFY_HIRE_DATE
GT-000070,AC-001348,100.0,1519,VERIFY_HIRE_DATE
GT-011117,AC-001363,80.0,1583,MANUAL_REVIEW
GT-007890,AC-001376,76.9,413,MANUAL_REVIEW
GT-006582,AC-001397,100.0,990,VERIFY_HIRE_DATE
GT-001618,AC-001411,78.3,378,MANUAL_REVIEW
GT-002627,AC-001421,100.0,1400,VERIFY_HIRE_DATE
GT-001881,AC-001426,100.0,881,VERIFY_HIRE_DATE
GT-008418,AC-001433,100.0,70,VERIFY_HIRE_DATE
GT-004441,AC-001458,100.0,2690,VERIFY_HIRE_DATE
GT-011750,AC-001467,94.4,79,VERIFY_HIRE_DATE
GT-004585,AC-001479,80.0,2385,MANUAL_REVIEW
GT-014966,AC-001480,100.0,1860,VERIFY_HIRE_DATE
GT-002509,AC-001517,100.0,1262,VERIFY_HIRE_DATE
GT-009024,AC-001544,100.0,2079,VERIFY_HIRE_DATE
GT-001898,AC-001554,100.0,1103,VERIFY_HIRE_DATE
GT-000015,AC-001593,100.0,419,VERIFY_HIRE_DATE
GT-000559,AC-001594,100.0,546,VERIFY_HIRE_DATE
GT-003297,AC-001602,100.0,191,VERIFY_HIRE_DATE
GT-003993,AC-001611,91.7,1165,VERIFY_HIRE_DATE
GT-000286,AC-001620,80.0,1563,MANUAL_REVIEW
GT-002722,AC-001623,78.3,382,MANUAL_REVIEW
GT-003795,AC-001693,100.0,1674,VERIFY_HIRE_DATE
GT-001035,AC-001711,100.0,2069,VERIFY_HIRE_DATE
GT-009656,AC-001712,100.0,304,VERIFY_HIRE_DATE
GT-001171,AC-001714,100.0,1892,VERIFY_HIRE_DATE
GT-005489,AC-001724,100.0,2774,VERIFY_HIRE_DATE
GT-010270,AC-001804,100.0,986,VERIFY_HIRE_DATE
GT-004640,AC-001814,100.0,695,VERIFY_HIRE_DATE
GT-001666,AC-001822,92.9,795,VERIFY_HIRE_DATE
GT-007715,AC-001833,100.0,1317,VERIFY_HIRE_DATE
GT-004302,AC-001841,100.0,2323,VERIFY_HIRE_DATE
GT-000093,AC-001867,100.0,315,VERIFY_HIRE_DATE
GT-005216,AC-001874,100.0,1135,VERIFY_HIRE_DATE
GT-012182,AC-001876,100.0,3168,VERIFY_HIRE_DATE
GT-001490,AC-001881,100.0,3004,VERIFY_HIRE_DATE
GT-006718,AC-001905,100.0,341,VERIFY_HIRE_DATE
GT-001035,AC-001912,87.0,1820,MANUAL_REVIEW
GT-002339,AC-001925,100.0,2121,VERIFY_HIRE_DATE
GT-002199,AC-001929,86.7,91,MANUAL_REVIEW
GT-000490,AC-001938,100.0,756,VERIFY_HIRE_DATE
GT-001124,AC-001954,88.9,1471,VERIFY_HIRE_DATE
GT-004217,AC-001986,100.0,2399,VERIFY_HIRE_DATE
GT-012372,AC-001991,100.0,1891,VERIFY_HIRE_DATE
GT-009443,AC-002008,100.0,36,VERIFY_HIRE_DATE
GT-001419,AC-002018,83.3,2535,MANUAL_REVIEW
GT-001266,AC-002076,100.0,2818,VERIFY_HIRE_DATE
GT-008787,AC-002082,100.0,1854,VERIFY_HIRE_DATE
GT-007084,AC-002104,100.0,2363,VERIFY_HIRE_DATE
GT-006544,AC-002169,100.0,2268,VERIFY_HIRE_DATE
GT-000861,AC-002196,86.7,2550,MANUAL_REVIEW
GT-003487,AC-002237,100.0,3344,VERIFY_HIRE_DATE
GT-012671,AC-002240,100.0,1499,VERIFY_HIRE_DATE
GT-013484,AC-002257,100.0,1145,VERIFY_HIRE_DATE
GT-001054,AC-002260,100.0,194,VERIFY_HIRE_DATE
GT-008612,AC-002282,100.0,2989,VERIFY_HIRE_DATE
GT-001124,AC-002320,100.0,294,VERIFY_HIRE_DATE
GT-014215,AC-002347,100.0,973,VERIFY_HIRE_DATE
GT-008138,AC-002363,82.8,1351,MANUAL_REVIEW
GT-011115,AC-002404,100.0,1475,VERIFY_HIRE_DATE
GT-001809,AC-002409,100.0,349,VERIFY_HIRE_DATE
GT-002948,AC-002411,100.0,276,VERIFY_HIRE_DATE
GT-000116,AC-002532,78.6,775,MANUAL_REVIEW
GT-001868,AC-002549,100.0,37,VERIFY_HIRE_DATE
GT-000114,AC-002570,100.0,558,VERIFY_HIRE_DATE
GT-005290,AC-002573,100.0,611,VERIFY_HIRE_DATE
GT-001484,AC-002606,78.3,56,MANUAL_REVIEW
GT-002575,AC-002610,100.0,83,VERIFY_HIRE_DATE
GT-009564,AC-002620,100.0,710,VERIFY_HIRE_DATE
GT-010790,AC-002719,88.0,98,VERIFY_HIRE_DATE
GT-000411,AC-002726,100.0,2166,VERIFY_HIRE_DATE
GT-005012,AC-002771,100.0,1798,VERIFY_HIRE_DATE
GT-013359,AC-002797,88.0,425,VERIFY_HIRE_DATE
GT-010953,AC-002835,100.0,1478,VERIFY_HIRE_DATE
GT-005344,AC-002875,100.0,1868,VERIFY_HIRE_DATE
GT-002372,AC-002881,100.0,92,VERIFY_HIRE_DATE
GT-007843,AC-002901,100.0,595,VERIFY_HIRE_DATE
GT-012246,AC-002919,100.0,3130,VERIFY_HIRE_DATE
GT-004329,AC-002981,100.0,3218,VERIFY_HIRE_DATE
GT-000989,AC-000011,100.0,887,VERIFY_HIRE_DATE
GT-007575,AC-000035,100.0,2362,VERIFY_HIRE_DATE
GT-004158,AC-000118,100.0,3342,VERIFY_HIRE_DATE
GT-006872,AC-000126,100.0,208,VERIFY_HIRE_DATE
GT-002932,AC-000187,100.0,2340,VERIFY_HIRE_DATE
GT-013530,AC-000266,100.0,1370,VERIFY_HIRE_DATE
GT-001574,AC-000297,100.0,1449,VERIFY_HIRE_DATE
GT-008102,AC-000298,100.0,311,VERIFY_HIRE_DATE
GT-007303,AC-000321,100.0,480,VERIFY_HIRE_DATE
GT-004303,AC-000441,100.0,755,VERIFY_HIRE_DATE
GT-014377,AC-000478,100.0,92,VERIFY_HIRE_DATE
GT-004009,AC-000488,100.0,256,VERIFY_HIRE_DATE
GT-006982,AC-000591,78.3,1491,MANUAL_REVIEW
GT-000145,AC-000617,100.0,2787,VERIFY_HIRE_DATE
GT-001100,AC-000681,100.0,1044,VERIFY_HIRE_DATE
GT-007432,AC-000782,87.0,660,MANUAL_REVIEW
GT-005711,AC-000786,100.0,1478,VERIFY_HIRE_DATE
GT-003020,AC-000792,100.0,616,VERIFY_HIRE_DATE
GT-000356,AC-000851,100.0,2014,VERIFY_HIRE_DATE
GT-010792,AC-000890,100.0,1819,VERIFY_HIRE_DATE
GT-000927,AC-000940,100.0,431,VERIFY_HIRE_DATE
GT-006779,AC-001177,100.0,2003,VERIFY_HIRE_DATE
GT-011028,AC-001284,100.0,2613,VERIFY_HIRE_DATE
GT-000797,AC-001340,78.3,359,MANUAL_REVIEW
GT-006236,AC-001354,100.0,952,VERIFY_HIRE_DATE
GT-004911,AC-001499,100.0,1553,VERIFY_HIRE_DATE
GT-001557,AC-001563,100.0,2049,VERIFY_HIRE_DATE
GT-004677,AC-001601,100.0,1445,VERIFY_HIRE_DATE
GT-013060,AC-001644,100.0,915,VERIFY_HIRE_DATE
GT-006228,AC-001645,81.8,1511,MANUAL_REVIEW
GT-014451,AC-001683,100.0,587,VERIFY_HIRE_DATE
GT-004105,AC-001741,90.0,770,VERIFY_HIRE_DATE
GT-010417,AC-001780,100.0,960,VERIFY_HIRE_DATE
GT-003304,AC-001871,100.0,645,VERIFY_HIRE_DATE
GT-002057,AC-001906,100.0,210,VERIFY_HIRE_DATE
GT-008944,AC-001919,100.0,2821,VERIFY_HIRE_DATE
GT-004654,AC-001939,100.0,48,VERIFY_HIRE_DATE
GT-006916,AC-002191,100.0,1023,VERIFY_HIRE_DATE
GT-009003,AC-002262,100.0,674,VERIFY_HIRE_DATE
GT-006030,AC-002273,100.0,2367,VERIFY_HIRE_DATE
GT-003808,AC-002306,100.0,1828,VERIFY_HIRE_DATE
GT-007465,AC-002421,100.0,419,VERIFY_HIRE_DATE
GT-001185,AC-002442,100.0,41,VERIFY_HIRE_DATE
GT-005754,AC-002578,100.0,1530,VERIFY_HIRE_DATE
GT-002216,AC-002618,90.0,657,VERIFY_HIRE_DATE
GT-008049,AC-002668,100.0,123,VERIFY_HIRE_DATE
GT-002692,AC-002695,100.0,556,VERIFY_HIRE_DATE
GT-002560,AC-002741,76.9,2705,MANUAL_REVIEW
GT-006430,AC-002766,100.0,1896,VERIFY_HIRE_DATE
GT-004929,AC-002838,100.0,352,VERIFY_HIRE_DATE
GT-004953,AC-002932,83.3,1760,MANUAL_REVIEW
GT-011340,AC-000016,100.0,1810,VERIFY_HIRE_DATE
GT-003889,AC-000106,78.6,1396,MANUAL_REVIEW
GT-014170,AC-000165,100.0,2204,VERIFY_HIRE_DATE
GT-006754,AC-000212,85.7,109,MANUAL_REVIEW
GT-002011,AC-000299,100.0,2886,VERIFY_HIRE_DATE
GT-005000,AC-000353,100.0,2002,VERIFY_HIRE_DATE
GT-004862,AC-000383,100.0,850,VERIFY_HIRE_DATE
GT-007984,AC-000624,100.0,166,VERIFY_HIRE_DATE
